,precision,recall,f1-score,support
abdominal aortic aneurysm,1.0,0.9285714285714286,0.9629629629629629,28.0
abdominal hernia,0.9625,0.9506172839506173,0.9565217391304348,81.0
abscess of nose,0.8688524590163934,0.9137931034482759,0.8907563025210085,58.0
abscess of the lung,1.0,1.0,1.0,4.0
abscess of the pharynx,0.9130434782608695,0.9264705882352942,0.9197080291970803,68.0
acanthosis nigricans,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
acariasis,1.0,0.8571428571428571,0.9230769230769231,7.0
achalasia,0.6666666666666666,0.7058823529411765,0.6857142857142857,17.0
acne,0.8,0.6868686868686869,0.7391304347826086,99.0
actinic keratosis,0.7471910112359551,0.7307692307692307,0.7388888888888889,182.0
acute bronchiolitis,0.895397489539749,0.8879668049792531,0.8916666666666667,241.0
acute bronchitis,0.6974789915966386,0.6831275720164609,0.6902286902286903,243.0
acute bronchospasm,0.6335403726708074,0.56353591160221,0.5964912280701754,181.0
acute glaucoma,0.42105263157894735,0.38095238095238093,0.4,42.0
acute kidney injury,0.9516129032258065,0.9725274725274725,0.9619565217391305,182.0
acute otitis media,0.7443609022556391,0.7226277372262774,0.7333333333333333,137.0
acute pancreatitis,0.844,0.8755186721991701,0.8594704684317719,241.0
acute respiratory distress syndrome (ards),0.8526315789473684,0.9,0.8756756756756757,90.0
acute sinusitis,0.8032786885245902,0.8121546961325967,0.8076923076923077,181.0
acute stress reaction,0.9090909090909091,0.8791208791208791,0.8938547486033519,182.0
adhesive capsulitis of the shoulder,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
adjustment reaction,0.6638655462184874,0.7821782178217822,0.7181818181818181,101.0
adrenal adenoma,0.875,1.0,0.9333333333333333,7.0
alcohol abuse,0.8598130841121495,0.9019607843137255,0.8803827751196173,102.0
alcohol intoxication,0.9285714285714286,0.9285714285714286,0.9285714285714286,70.0
alcohol withdrawal,0.9253731343283582,0.9323308270676691,0.9288389513108615,133.0
alcoholic liver disease,1.0,1.0,1.0,49.0
allergy,0.9281767955801105,0.9281767955801105,0.9281767955801105,181.0
allergy to animals,1.0,0.875,0.9333333333333333,8.0
alopecia,0.6818181818181818,0.8823529411764706,0.7692307692307693,68.0
alzheimer disease,0.9833333333333333,0.8805970149253731,0.9291338582677166,67.0
amblyopia,1.0,1.0,1.0,9.0
amyotrophic lateral sclerosis (als),1.0,0.9166666666666666,0.9565217391304348,12.0
anal fissure,0.8627450980392157,0.9777777777777777,0.9166666666666666,45.0
anal fistula,0.0,0.0,0.0,4.0
anemia,0.9027777777777778,0.9848484848484849,0.9420289855072463,66.0
anemia due to chronic kidney disease,0.8,0.8,0.8,10.0
anemia due to malignancy,0.0,0.0,0.0,2.0
anemia of chronic disease,0.8888888888888888,1.0,0.9411764705882353,8.0
angina,0.9230769230769231,0.9281767955801105,0.9256198347107438,181.0
ankylosing spondylitis,0.860655737704918,0.8677685950413223,0.8641975308641975,121.0
anxiety,0.9128630705394191,0.9166666666666666,0.9147609147609148,240.0
aortic valve disease,0.9647058823529412,0.9111111111111111,0.9371428571428572,90.0
aphthous ulcer,0.9130434782608695,0.8571428571428571,0.8842105263157894,49.0
aplastic anemia,0.9333333333333333,1.0,0.9655172413793104,14.0
appendicitis,0.8869047619047619,0.8232044198895028,0.8538681948424068,181.0
arrhythmia,0.8076923076923077,0.8076923076923077,0.8076923076923077,52.0
arthritis of the hip,0.9504132231404959,0.9504132231404959,0.9504132231404959,242.0
ascending cholangitis,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
asperger syndrome,0.7948717948717948,0.9117647058823529,0.8493150684931506,68.0
aspergillosis,1.0,1.0,1.0,2.0
asthma,0.7359550561797753,0.7237569060773481,0.7298050139275766,181.0
astigmatism,0.5128205128205128,0.625,0.5633802816901409,64.0
atelectasis,0.9090909090909091,0.5,0.6451612903225806,20.0
athlete's foot,0.6494845360824743,0.8289473684210527,0.7283236994219653,76.0
atonic bladder,0.9230769230769231,0.8571428571428571,0.8888888888888888,14.0
atrial fibrillation,0.25,0.14285714285714285,0.18181818181818182,14.0
atrial flutter,0.9361702127659575,0.9166666666666666,0.9263157894736842,48.0
atrophic skin condition,0.7804878048780488,0.7272727272727273,0.7529411764705882,88.0
atrophic vaginitis,0.8,0.9090909090909091,0.851063829787234,66.0
atrophy of the corpus cavernosum,1.0,0.8888888888888888,0.9411764705882353,9.0
attention deficit hyperactivity disorder (adhd),0.8723404255319149,0.8118811881188119,0.841025641025641,101.0
autism,0.9195402298850575,0.8888888888888888,0.903954802259887,90.0
